Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Cedar County, Nebraska",8498,30163,595,7.0%,Cedar County,Nebraska
"Chase County, Nebraska",3783,30080,359,9.49%,Chase County,Nebraska
"Cherry County, Nebraska",5779,29415,446,7.72%,Cherry County,Nebraska
"Cheyenne County, Nebraska",9604,31294,906,9.43%,Cheyenne County,Nebraska
"Clay County, Nebraska",6203,27539,641,10.33%,Clay County,Nebraska
"Colfax County, Nebraska",10714,23603,1291,12.05%,Colfax County,Nebraska
"Cuming County, Nebraska",8952,29765,606,6.77%,Cuming County,Nebraska
"Custer County, Nebraska",10826,33561,1222,11.29%,Custer County,Nebraska
"Dakota County, Nebraska",20173,25269,3227,16.0%,Dakota County,Nebraska
"Dawes County, Nebraska",8810,25383,1144,12.99%,Dawes County,Nebraska
"Dawson County, Nebraska",23733,25956,2960,12.47%,Dawson County,Nebraska
"Deuel County, Nebraska",1831,26351,159,8.68%,Deuel County,Nebraska
"Dixon County, Nebraska",5719,27634,533,9.32%,Dixon County,Nebraska
"Dodge County, Nebraska",36665,28019,4452,12.14%,Dodge County,Nebraska
"Douglas County, Nebraska",560617,35307,65887,11.75%,Douglas County,Nebraska
"Dundy County, Nebraska",1913,25479,198,10.35%,Dundy County,Nebraska
"Fillmore County, Nebraska",5547,34483,469,8.46%,Fillmore County,Nebraska
"Franklin County, Nebraska",2987,28365,424,14.19%,Franklin County,Nebraska
"Frontier County, Nebraska",2640,28899,226,8.56%,Frontier County,Nebraska
"Furnas County, Nebraska",4747,27021,512,10.79%,Furnas County,Nebraska
"Gage County, Nebraska",21594,29565,2251,10.42%,Gage County,Nebraska
"Garden County, Nebraska",1864,35050,141,7.56%,Garden County,Nebraska
"Garfield County, Nebraska",2001,29146,178,8.9%,Garfield County,Nebraska
"Gosper County, Nebraska",2013,37565,107,5.32%,Gosper County,Nebraska
"Grant County, Nebraska",722,23264,109,15.1%,Grant County,Nebraska
"Greeley County, Nebraska",2382,26553,239,10.03%,Greeley County,Nebraska
"Hall County, Nebraska",61265,28359,7078,11.55%,Hall County,Nebraska
"Hamilton County, Nebraska",9215,32131,468,5.08%,Hamilton County,Nebraska
"Harlan County, Nebraska",3415,28919,354,10.37%,Harlan County,Nebraska
"Hayes County, Nebraska",893,31286,99,11.09%,Hayes County,Nebraska
"Hitchcock County, Nebraska",2815,30037,311,11.05%,Hitchcock County,Nebraska
"Holt County, Nebraska",10177,31785,783,7.69%,Holt County,Nebraska
"Hooker County, Nebraska",693,27714,101,14.57%,Hooker County,Nebraska
"Howard County, Nebraska",6417,27489,505,7.87%,Howard County,Nebraska
"Jefferson County, Nebraska",7144,27461,790,11.06%,Jefferson County,Nebraska
"Johnson County, Nebraska",5161,24072,351,6.8%,Johnson County,Nebraska
"Kearney County, Nebraska",6529,31094,637,9.76%,Kearney County,Nebraska
"Keith County, Nebraska",8068,29823,993,12.31%,Keith County,Nebraska
"Keya Paha County, Nebraska",760,28853,57,7.5%,Keya Paha County,Nebraska
"Kimball County, Nebraska",3633,27478,388,10.68%,Kimball County,Nebraska
"Knox County, Nebraska",8426,28409,763,9.06%,Knox County,Nebraska
"Lancaster County, Nebraska",313158,32378,37502,11.98%,Lancaster County,Nebraska
"Lincoln County, Nebraska",35263,31567,3397,9.63%,Lincoln County,Nebraska
"Logan County, Nebraska",927,24355,104,11.22%,Logan County,Nebraska
"Loup County, Nebraska",605,27726,52,8.6%,Loup County,Nebraska
"McPherson County, Nebraska",395,30063,68,17.22%,McPherson County,Nebraska
"Madison County, Nebraska",35080,28179,5069,14.45%,Madison County,Nebraska
"Merrick County, Nebraska",7798,28795,915,11.73%,Merrick County,Nebraska
"Morrill County, Nebraska",4781,26951,404,8.45%,Morrill County,Nebraska
"Nance County, Nebraska",3544,29454,392,11.06%,Nance County,Nebraska
"Nemaha County, Nebraska",6973,29574,746,10.7%,Nemaha County,Nebraska
"Nuckolls County, Nebraska",4244,30078,467,11.0%,Nuckolls County,Nebraska
"Otoe County, Nebraska",15949,31450,1720,10.78%,Otoe County,Nebraska
"Pawnee County, Nebraska",2649,27162,492,18.57%,Pawnee County,Nebraska
"Perkins County, Nebraska",2901,35765,144,4.96%,Perkins County,Nebraska
"Phelps County, Nebraska",9100,32864,841,9.24%,Phelps County,Nebraska
"Pierce County, Nebraska",7144,32040,555,7.77%,Pierce County,Nebraska
"Platte County, Nebraska",33174,30331,2836,8.55%,Platte County,Nebraska
"Polk County, Nebraska",5225,30234,393,7.52%,Polk County,Nebraska
"Red Willow County, Nebraska",10768,27392,1215,11.28%,Red Willow County,Nebraska
"Richardson County, Nebraska",7961,28309,954,11.98%,Richardson County,Nebraska
"Rock County, Nebraska",1414,36140,71,5.02%,Rock County,Nebraska
"Saline County, Nebraska",14270,24627,2030,14.23%,Saline County,Nebraska
"Sarpy County, Nebraska",181232,36058,10654,5.88%,Sarpy County,Nebraska
"Saunders County, Nebraska",21165,33851,1700,8.03%,Saunders County,Nebraska
"Scotts Bluff County, Nebraska",36074,27978,4769,13.22%,Scotts Bluff County,Nebraska
"Seward County, Nebraska",17171,32040,1019,5.93%,Seward County,Nebraska
"Sheridan County, Nebraska",5231,29477,886,16.94%,Sheridan County,Nebraska
"Sherman County, Nebraska",3033,28448,368,12.13%,Sherman County,Nebraska
"Sioux County, Nebraska",1219,28646,104,8.53%,Sioux County,Nebraska
"Stanton County, Nebraska",5957,29117,366,6.14%,Stanton County,Nebraska
"Thayer County, Nebraska",5057,29632,474,9.37%,Thayer County,Nebraska
"Thomas County, Nebraska",645,36572,54,8.37%,Thomas County,Nebraska
"Thurston County, Nebraska",7181,20141,1813,25.25%,Thurston County,Nebraska
"Valley County, Nebraska",4206,29378,388,9.22%,Valley County,Nebraska
"Washington County, Nebraska",20361,35145,1587,7.79%,Washington County,Nebraska
"Wayne County, Nebraska",9332,27671,983,10.53%,Wayne County,Nebraska
"Webster County, Nebraska",3537,29969,371,10.49%,Webster County,Nebraska
"Wheeler County, Nebraska",783,29037,103,13.15%,Wheeler County,Nebraska
"York County, Nebraska",13745,32975,1243,9.04%,York County,Nebraska
"Churchill County, Nevada",24259,28462,3119,12.86%,Churchill County,Nevada
"Clark County, Nevada",2182004,30704,295030,13.52%,Clark County,Nevada
"Douglas County, Nevada",48132,38814,4170,8.66%,Douglas County,Nevada
"Elko County, Nevada",52297,33875,6026,11.52%,Elko County,Nevada
"Esmeralda County, Nevada",969,25849,86,8.88%,Esmeralda County,Nevada
"Eureka County, Nevada",1859,34249,148,7.96%,Eureka County,Nevada
"Humboldt County, Nevada",16828,33362,2208,13.12%,Humboldt County,Nevada
"Lander County, Nevada",5643,34000,543,9.62%,Lander County,Nevada
"Lincoln County, Nevada",5180,26432,253,4.88%,Lincoln County,Nevada
"Lyon County, Nevada",54380,27855,6293,11.57%,Lyon County,Nevada
"Mineral County, Nevada",4460,22921,871,19.53%,Mineral County,Nevada
"Nye County, Nevada",44380,25558,7157,16.13%,Nye County,Nevada
"Pershing County, Nevada",6615,19891,567,8.57%,Pershing County,Nevada
"Storey County, Nevada",3988,37941,324,8.12%,Storey County,Nevada
"Washoe County, Nevada",456936,36071,50827,11.12%,Washoe County,Nevada
"White Pine County, Nevada",9679,25675,1108,11.45%,White Pine County,Nevada
"Carson City, Nevada",54773,31549,5960,10.88%,Carson City,Nevada
"Belknap County, New Hampshire",60887,37430,5186,8.52%,Belknap County,New Hampshire
"Carroll County, New Hampshire",48138,37490,4272,8.87%,Carroll County,New Hampshire
"Cheshire County, New Hampshire",76042,33946,6409,8.43%,Cheshire County,New Hampshire
"Coos County, New Hampshire",31741,27393,3675,11.58%,Coos County,New Hampshire
"Grafton County, New Hampshire",89777,37750,7968,8.88%,Grafton County,New Hampshire
"Hillsborough County, New Hampshire",413035,40955,31468,7.62%,Hillsborough County,New Hampshire
"Merrimack County, New Hampshire",149917,37367,9348,6.24%,Merrimack County,New Hampshire
"Rockingham County, New Hampshire",306359,47222,14096,4.6%,Rockingham County,New Hampshire
"Strafford County, New Hampshire",129124,35601,11321,8.77%,Strafford County,New Hampshire
"Sullivan County, New Hampshire",43104,33042,4939,11.46%,Sullivan County,New Hampshire
"Atlantic County, New Jersey",266105,33284,34691,13.04%,Atlantic County,New Jersey
"Bergen County, New Jersey",930390,51214,61205,6.58%,Bergen County,New Jersey
"Burlington County, New Jersey",445702,43187,26671,5.98%,Burlington County,New Jersey
"Camden County, New Jersey",506738,35958,61187,12.07%,Camden County,New Jersey
"Cape May County, New Jersey",93086,40389,8878,9.54%,Cape May County,New Jersey
"Cumberland County, New Jersey",151906,25694,23051,15.17%,Cumberland County,New Jersey
"Essex County, New Jersey",795404,38722,122569,15.41%,Essex County,New Jersey
"Gloucester County, New Jersey",291165,39337,21340,7.33%,Gloucester County,New Jersey
"Hudson County, New Jersey",670046,40740,100869,15.05%,Hudson County,New Jersey
"Hunterdon County, New Jersey",124823,57098,5474,4.39%,Hunterdon County,New Jersey
"Mercer County, New Jersey",367922,43086,40980,11.14%,Mercer County,New Jersey
"Middlesex County, New Jersey",825920,39599,67683,8.19%,Middlesex County,New Jersey
"Monmouth County, New Jersey",621659,51700,42734,6.87%,Monmouth County,New Jersey
"Morris County, New Jersey",493379,58109,23212,4.7%,Morris County,New Jersey
"Ocean County, New Jersey",596415,36100,59463,9.97%,Ocean County,New Jersey
"Passaic County, New Jersey",503637,32064,77841,15.46%,Passaic County,New Jersey
"Salem County, New Jersey",62990,34047,7651,12.15%,Salem County,New Jersey
"Somerset County, New Jersey",329838,55828,16762,5.08%,Somerset County,New Jersey
"Sussex County, New Jersey",141483,44728,6920,4.89%,Sussex County,New Jersey
"Union County, New Jersey",554033,41603,52015,9.39%,Union County,New Jersey
"Warren County, New Jersey",105862,39802,7885,7.45%,Warren County,New Jersey
"Bernalillo County, New Mexico",677858,30734,111693,16.48%,Bernalillo County,New Mexico
"Catron County, New Mexico",3526,21989,571,16.19%,Catron County,New Mexico
"Chaves County, New Mexico",65144,22041,12280,18.85%,Chaves County,New Mexico
"Cibola County, New Mexico",26891,20018,6660,24.77%,Cibola County,New Mexico
"Colfax County, New Mexico",12168,24035,2316,19.03%,Colfax County,New Mexico
"Curry County, New Mexico",49732,23021,10186,20.48%,Curry County,New Mexico
"De Baca County, New Mexico",2040,17376,323,15.83%,De Baca County,New Mexico
"Doña Ana County, New Mexico",216069,22154,55581,25.72%,Doña Ana County,New Mexico
"Eddy County, New Mexico",57732,30246,8323,14.42%,Eddy County,New Mexico
"Grant County, New Mexico",27669,25590,6460,23.35%,Grant County,New Mexico
"Guadalupe County, New Mexico",4353,17420,561,12.89%,Guadalupe County,New Mexico
"Harding County, New Mexico",441,34721,63,14.29%,Harding County,New Mexico
"Hidalgo County, New Mexico",4297,22009,1079,25.11%,Hidalgo County,New Mexico
"Lea County, New Mexico",70277,25585,10698,15.22%,Lea County,New Mexico
"Lincoln County, New Mexico",19461,27454,2026,10.41%,Lincoln County,New Mexico
"Los Alamos County, New Mexico",18625,60746,809,4.34%,Los Alamos County,New Mexico
"Luna County, New Mexico",24083,17168,6553,27.21%,Luna County,New Mexico
"McKinley County, New Mexico",72438,15931,24982,34.49%,McKinley County,New Mexico
"Mora County, New Mexico",4536,19864,903,19.91%,Mora County,New Mexico
"Otero County, New Mexico",66137,23170,13816,20.89%,Otero County,New Mexico
"Quay County, New Mexico",8326,19784,1659,19.93%,Quay County,New Mexico
"Rio Arriba County, New Mexico",39159,22911,9351,23.88%,Rio Arriba County,New Mexico
"Roosevelt County, New Mexico",18888,20123,4425,23.43%,Roosevelt County,New Mexico
"Sandoval County, New Mexico",142704,29255,18049,12.65%,Sandoval County,New Mexico
"San Juan County, New Mexico",126515,23235,26075,20.61%,San Juan County,New Mexico
"San Miguel County, New Mexico",27738,20762,7392,26.65%,San Miguel County,New Mexico
"Santa Fe County, New Mexico",149293,38520,18797,12.59%,Santa Fe County,New Mexico
"Sierra County, New Mexico",11031,25344,2849,25.83%,Sierra County,New Mexico
"Socorro County, New Mexico",16858,18948,4824,28.62%,Socorro County,New Mexico
"Taos County, New Mexico",32786,25646,5976,18.23%,Taos County,New Mexico
"Torrance County, New Mexico",15519,20876,3590,23.13%,Torrance County,New Mexico
"Union County, New Mexico",4133,22116,670,16.21%,Union County,New Mexico
"Valencia County, New Mexico",76027,23675,12525,16.47%,Valencia County,New Mexico
"Albany County, New York",306968,37635,34570,11.26%,Albany County,New York
"Allegany County, New York",46688,24857,7047,15.09%,Allegany County,New York
"Bronx County, New York",1435068,21778,392172,27.33%,Bronx County,New York
"Broome County, New York",193188,28699,31945,16.54%,Broome County,New York
"Cattaraugus County, New York",77121,25822,12324,15.98%,Cattaraugus County,New York
"Cayuga County, New York",77425,30509,8812,11.38%,Cayuga County,New York
"Chautauqua County, New York",128496,26165,22398,17.43%,Chautauqua County,New York
"Chemung County, New York",84895,28778,11136,13.12%,Chemung County,New York
"Chenango County, New York",47909,27708,6368,13.29%,Chenango County,New York
"Clinton County, New York",80583,27761,10902,13.53%,Clinton County,New York
"Columbia County, New York",60371,38268,6777,11.23%,Columbia County,New York
"Cortland County, New York",47865,28229,7272,15.19%,Cortland County,New York
"Delaware County, New York",44995,27701,7071,15.72%,Delaware County,New York
"Dutchess County, New York",293754,40093,25065,8.53%,Dutchess County,New York
"Erie County, New York",919355,33598,126806,13.79%,Erie County,New York
"Essex County, New York",37459,31667,3435,9.17%,Essex County,New York
"Franklin County, New York",50477,25406,7981,15.81%,Franklin County,New York
"Fulton County, New York",53646,27443,7814,14.57%,Fulton County,New York
"Genesee County, New York",57808,30511,6189,10.71%,Genesee County,New York
"Greene County, New York",47424,28433,6167,13.0%,Greene County,New York
"Hamilton County, New York",4515,24851,443,9.81%,Hamilton County,New York
"Herkimer County, New York",62057,27850,8307,13.39%,Herkimer County,New York
"Jefferson County, New York",112842,26194,14897,13.2%,Jefferson County,New York
"Kings County, New York",2589974,34173,511631,19.75%,Kings County,New York
"Lewis County, New York",26572,26708,3540,13.32%,Lewis County,New York
"Livingston County, New York",63591,28701,7572,11.91%,Livingston County,New York
"Madison County, New York",71205,30469,6459,9.07%,Madison County,New York
"Monroe County, New York",743341,33840,103406,13.91%,Monroe County,New York
"Montgomery County, New York",49302,26521,9544,19.36%,Montgomery County,New York
"Nassau County, New York",1356509,51422,74291,5.48%,Nassau County,New York
"New York County, New York",1631993,76592,250913,15.37%,New York County,New York
"Niagara County, New York",210820,30971,27857,13.21%,Niagara County,New York
"Oneida County, New York",229959,29687,33715,14.66%,Oneida County,New York
"Onondaga County, New York",462872,34002,62610,13.53%,Onondaga County,New York
"Ontario County, New York",109511,36835,9193,8.39%,Ontario County,New York
"Orange County, New York",380085,34959,43142,11.35%,Orange County,New York
"Orleans County, New York",40904,26298,5226,12.78%,Orleans County,New York
"Oswego County, New York",118339,28587,19213,16.24%,Oswego County,New York
"Otsego County, New York",59972,28849,8154,13.6%,Otsego County,New York
"Putnam County, New York",98787,47448,4847,4.91%,Putnam County,New York
"Queens County, New York",2287388,31930,276447,12.09%,Queens County,New York
"Rensselaer County, New York",159185,35903,17963,11.28%,Rensselaer County,New York
"Richmond County, New York",474893,36907,54621,11.5%,Richmond County,New York
"Rockland County, New York",324422,39286,44404,13.69%,Rockland County,New York
"St. Lawrence County, New York",108913,25378,17328,15.91%,St. Lawrence County,New York
"Saratoga County, New York",228502,43065,13148,5.75%,Saratoga County,New York
"Schenectady County, New York",154859,32417,17271,11.15%,Schenectady County,New York
"Schoharie County, New York",31222,30397,3612,11.57%,Schoharie County,New York
"Schuyler County, New York",17920,27678,2717,15.16%,Schuyler County,New York
"Seneca County, New York",34390,28245,3825,11.12%,Seneca County,New York
"Steuben County, New York",96422,29886,12971,13.45%,Steuben County,New York
"Suffolk County, New York",1483832,44465,100133,6.75%,Suffolk County,New York
"Sullivan County, New York",75116,30446,10999,14.64%,Sullivan County,New York
"Tioga County, New York",48686,31822,4899,10.06%,Tioga County,New York
"Tompkins County, New York",102642,33075,16838,16.4%,Tompkins County,New York
"Ulster County, New York",178665,34834,23571,13.19%,Ulster County,New York
"Warren County, New York",64276,35271,5997,9.33%,Warren County,New York
"Washington County, New York",61616,28530,6578,10.68%,Washington County,New York
"Wayne County, New York",90519,31043,10371,11.46%,Wayne County,New York
"Westchester County, New York",968890,57049,83603,8.63%,Westchester County,New York
"Wyoming County, New York",40305,27947,3933,9.76%,Wyoming County,New York
"Yates County, New York",25011,28270,2837,11.34%,Yates County,New York
"Alamance County, North Carolina",163324,27312,25621,15.69%,Alamance County,North Carolina
"Alexander County, North Carolina",37213,26688,4870,13.09%,Alexander County,North Carolina
"Alleghany County, North Carolina",11008,23267,2552,23.18%,Alleghany County,North Carolina
"Anson County, North Carolina",24902,21635,4499,18.07%,Anson County,North Carolina
"Ashe County, North Carolina",26863,24814,4317,16.07%,Ashe County,North Carolina
"Avery County, North Carolina",17506,21167,2123,12.13%,Avery County,North Carolina
"Beaufort County, North Carolina",47168,27504,8689,18.42%,Beaufort County,North Carolina
"Bertie County, North Carolina",19380,22947,4181,21.57%,Bertie County,North Carolina
"Bladen County, North Carolina",33407,23440,8008,23.97%,Bladen County,North Carolina
"Brunswick County, North Carolina",131815,33312,15402,11.68%,Brunswick County,North Carolina
"Buncombe County, North Carolina",256886,32426,30542,11.89%,Buncombe County,North Carolina
"Burke County, North Carolina",89968,24481,15784,17.54%,Burke County,North Carolina
"Cabarrus County, North Carolina",206615,32255,20920,10.13%,Cabarrus County,North Carolina
"Caldwell County, North Carolina",81884,23869,12196,14.89%,Caldwell County,North Carolina
"Camden County, North Carolina",10551,28221,969,9.18%,Camden County,North Carolina
"Carteret County, North Carolina",69070,33722,7238,10.48%,Carteret County,North Carolina
"Caswell County, North Carolina",22684,23901,3928,17.32%,Caswell County,North Carolina
"Catawba County, North Carolina",157613,28224,20460,12.98%,Catawba County,North Carolina
"Chatham County, North Carolina",71338,40967,7169,10.05%,Chatham County,North Carolina
"Cherokee County, North Carolina",27969,23902,4593,16.42%,Cherokee County,North Carolina
"Chowan County, North Carolina",14097,26256,2207,15.66%,Chowan County,North Carolina
"Clay County, North Carolina",10946,28467,1513,13.82%,Clay County,North Carolina
"Cleveland County, North Carolina",97282,22589,19391,19.93%,Cleveland County,North Carolina
"Columbus County, North Carolina",56068,22608,12101,21.58%,Columbus County,North Carolina
"Craven County, North Carolina",102491,29521,14773,14.41%,Craven County,North Carolina
"Cumberland County, North Carolina",332861,24936,58132,17.46%,Cumberland County,North Carolina
"Currituck County, North Carolina",26363,31849,2479,9.4%,Currituck County,North Carolina
"Dare County, North Carolina",36222,34578,3230,8.92%,Dare County,North Carolina
"Davidson County, North Carolina",165381,25988,25091,15.17%,Davidson County,North Carolina
"Davie County, North Carolina",42257,31173,5835,13.81%,Davie County,North Carolina
"Duplin County, North Carolina",58967,20254,12375,20.99%,Duplin County,North Carolina
"Durham County, North Carolina",311848,35398,45221,14.5%,Durham County,North Carolina
"Edgecombe County, North Carolina",52648,20626,12317,23.4%,Edgecombe County,North Carolina
"Forsyth County, North Carolina",375195,30769,61366,16.36%,Forsyth County,North Carolina
"Franklin County, North Carolina",66362,27294,8523,12.84%,Franklin County,North Carolina
"Gaston County, North Carolina",219271,27352,31210,14.23%,Gaston County,North Carolina
"Gates County, North Carolina",11548,25846,1548,13.4%,Gates County,North Carolina
"Graham County, North Carolina",8509,20323,1428,16.78%,Graham County,North Carolina
"Granville County, North Carolina",59328,27131,8031,13.54%,Granville County,North Carolina
"Greene County, North Carolina",21033,19168,4255,20.23%,Greene County,North Carolina
"Guilford County, North Carolina",527868,30767,80528,15.26%,Guilford County,North Carolina
"Halifax County, North Carolina",51190,21848,12864,25.13%,Halifax County,North Carolina
"Harnett County, North Carolina",132283,23767,20331,15.37%,Harnett County,North Carolina
"Haywood County, North Carolina",61053,30490,8087,13.25%,Haywood County,North Carolina
"Henderson County, North Carolina",114913,31564,12408,10.8%,Henderson County,North Carolina
"Hertford County, North Carolina",24012,20119,4786,19.93%,Hertford County,North Carolina
"Hoke County, North Carolina",53957,20991,10605,19.65%,Hoke County,North Carolina
"Hyde County, North Carolina",5213,18245,1125,21.58%,Hyde County,North Carolina
"Iredell County, North Carolina",175538,33194,18982,10.81%,Iredell County,North Carolina
"Jackson County, North Carolina",42938,25347,7296,16.99%,Jackson County,North Carolina
"Johnston County, North Carolina",196870,27924,24414,12.4%,Johnston County,North Carolina
"Jones County, North Carolina",9594,21928,2333,24.32%,Jones County,North Carolina
"Lee County, North Carolina",60481,24842,9565,15.81%,Lee County,North Carolina
"Lenoir County, North Carolina",56756,23865,12836,22.62%,Lenoir County,North Carolina
"Lincoln County, North Carolina",82919,31771,9916,11.96%,Lincoln County,North Carolina
"McDowell County, North Carolina",45227,24281,7402,16.37%,McDowell County,North Carolina
"Macon County, North Carolina",34813,28936,5323,15.29%,Macon County,North Carolina
"Madison County, North Carolina",21499,25956,3342,15.54%,Madison County,North Carolina
"Martin County, North Carolina",22849,23575,4463,19.53%,Martin County,North Carolina
"Mecklenburg County, North Carolina",1074475,38819,122537,11.4%,Mecklenburg County,North Carolina
"Mitchell County, North Carolina",15004,25009,1886,12.57%,Mitchell County,North Carolina
"Montgomery County, North Carolina",27252,24636,4621,16.96%,Montgomery County,North Carolina
"Moore County, North Carolina",97294,34606,10878,11.18%,Moore County,North Carolina
"Nash County, North Carolina",94030,27406,13944,14.83%,Nash County,North Carolina
"New Hanover County, North Carolina",227938,34288,35410,15.53%,New Hanover County,North Carolina
"Northampton County, North Carolina",19946,22002,3941,19.76%,Northampton County,North Carolina
"Onslow County, North Carolina",195069,24413,23065,11.82%,Onslow County,North Carolina
"Orange County, North Carolina",144836,42231,18266,12.61%,Orange County,North Carolina
"Pamlico County, North Carolina",12701,29092,1509,11.88%,Pamlico County,North Carolina
"Pasquotank County, North Carolina",39514,24664,5800,14.68%,Pasquotank County,North Carolina
"Pender County, North Carolina",60399,29266,8334,13.8%,Pender County,North Carolina
"Perquimans County, North Carolina",13430,27569,2008,14.95%,Perquimans County,North Carolina
"Person County, North Carolina",39345,27329,6237,15.85%,Person County,North Carolina
"Pitt County, North Carolina",178433,27155,39314,22.03%,Pitt County,North Carolina
"Polk County, North Carolina",20557,30756,1992,9.69%,Polk County,North Carolina
"Randolph County, North Carolina",143118,24397,21457,14.99%,Randolph County,North Carolina
"Richmond County, North Carolina",44997,21228,10935,24.3%,Richmond County,North Carolina
"Robeson County, North Carolina",132596,18709,35706,26.93%,Robeson County,North Carolina
"Rockingham County, North Carolina",91077,24209,16267,17.86%,Rockingham County,North Carolina
"Rowan County, North Carolina",140296,25630,21660,15.44%,Rowan County,North Carolina
"Rutherford County, North Carolina",66599,23978,11712,17.59%,Rutherford County,North Carolina
"Sampson County, North Carolina",63385,22875,13059,20.6%,Sampson County,North Carolina
"Scotland County, North Carolina",35076,19052,8897,25.36%,Scotland County,North Carolina
"Stanly County, North Carolina",61588,25863,7659,12.44%,Stanly County,North Carolina
"Stokes County, North Carolina",45781,26279,6229,13.61%,Stokes County,North Carolina
"Surry County, North Carolina",71971,25500,11651,16.19%,Surry County,North Carolina
"Swain County, North Carolina",14260,23139,2455,17.22%,Swain County,North Carolina
"Transylvania County, North Carolina",33775,29549,4679,13.85%,Transylvania County,North Carolina
"Tyrrell County, North Carolina",4095,19743,749,18.29%,Tyrrell County,North Carolina
"Union County, North Carolina",231053,36362,18784,8.13%,Union County,North Carolina
"Vance County, North Carolina",44479,23049,9138,20.54%,Vance County,North Carolina
"Wake County, North Carolina",1069079,40982,95198,8.9%,Wake County,North Carolina
"Warren County, North Carolina",19898,23432,3751,18.85%,Warren County,North Carolina
"Washington County, North Carolina",11922,23431,2612,21.91%,Washington County,North Carolina
"Watauga County, North Carolina",54925,26882,12415,22.6%,Watauga County,North Carolina
"Wayne County, North Carolina",123603,25277,24383,19.73%,Wayne County,North Carolina
"Wilkes County, North Carolina",68469,25202,11929,17.42%,Wilkes County,North Carolina
"Wilson County, North Carolina",81435,24790,16217,19.91%,Wilson County,North Carolina
"Yadkin County, North Carolina",37602,25218,5731,15.24%,Yadkin County,North Carolina
"Yancey County, North Carolina",17760,24487,2883,16.23%,Yancey County,North Carolina
"Adams County, North Dakota",2311,33458,195,8.44%,Adams County,North Dakota
"Barnes County, North Dakota",10706,35491,1155,10.79%,Barnes County,North Dakota
"Benson County, North Dakota",6873,21707,2174,31.63%,Benson County,North Dakota
"Billings County, North Dakota",922,42071,86,9.33%,Billings County,North Dakota
"Bottineau County, North Dakota",6502,35655,591,9.09%,Bottineau County,North Dakota
"Bowman County, North Dakota",3148,34880,238,7.56%,Bowman County,North Dakota
"Burke County, North Dakota",2182,39350,127,5.82%,Burke County,North Dakota
"Burleigh County, North Dakota",94793,38804,7392,7.8%,Burleigh County,North Dakota
"Cass County, North Dakota",176975,37620,18360,10.37%,Cass County,North Dakota
"Cavalier County, North Dakota",3803,43457,406,10.68%,Cavalier County,North Dakota
"Dickey County, North Dakota",4938,33539,247,5.0%,Dickey County,North Dakota
"Divide County, North Dakota",2335,40184,201,8.61%,Divide County,North Dakota
"Dunn County, North Dakota",4395,42691,347,7.9%,Dunn County,North Dakota
"Eddy County, North Dakota",2301,35639,240,10.43%,Eddy County,North Dakota
"Emmons County, North Dakota",3310,33088,322,9.73%,Emmons County,North Dakota
"Foster County, North Dakota",3260,35299,229,7.02%,Foster County,North Dakota
"Golden Valley County, North Dakota",1845,33111,134,7.26%,Golden Valley County,North Dakota
"Grand Forks County, North Dakota",70224,32153,10662,15.18%,Grand Forks County,North Dakota
"Grant County, North Dakota",2353,34786,297,12.62%,Grant County,North Dakota
"Griggs County, North Dakota",2409,34882,182,7.56%,Griggs County,North Dakota
"Hettinger County, North Dakota",2547,34181,228,8.95%,Hettinger County,North Dakota
"Kidder County, North Dakota",2466,31000,262,10.62%,Kidder County,North Dakota
"LaMoure County, North Dakota",4125,37220,592,14.35%,LaMoure County,North Dakota
"Logan County, North Dakota",1872,32619,130,6.94%,Logan County,North Dakota
"McHenry County, North Dakota",5878,36980,483,8.22%,McHenry County,North Dakota
"McIntosh County, North Dakota",2597,32131,245,9.43%,McIntosh County,North Dakota
"McKenzie County, North Dakota",13334,36690,1490,11.17%,McKenzie County,North Dakota
"McLean County, North Dakota",9584,36428,751,7.84%,McLean County,North Dakota
"Mercer County, North Dakota",8462,39025,591,6.98%,Mercer County,North Dakota
"Morton County, North Dakota",30868,39384,2240,7.26%,Morton County,North Dakota
"Mountrail County, North Dakota",10321,36364,1072,10.39%,Mountrail County,North Dakota
"Nelson County, North Dakota",2894,34491,325,11.23%,Nelson County,North Dakota
"Oliver County, North Dakota",1842,35565,147,7.98%,Oliver County,North Dakota
"Pembina County, North Dakota",6947,36251,498,7.17%,Pembina County,North Dakota
"Pierce County, North Dakota",4126,30756,663,16.07%,Pierce County,North Dakota
"Ramsey County, North Dakota",11583,34041,1389,11.99%,Ramsey County,North Dakota
"Ransom County, North Dakota",5314,34665,331,6.23%,Ransom County,North Dakota
"Renville County, North Dakota",2442,34452,87,3.56%,Renville County,North Dakota
"Richland County, North Dakota",16254,31346,1649,10.15%,Richland County,North Dakota
"Rolette County, North Dakota",14511,20484,3863,26.62%,Rolette County,North Dakota
"Sargent County, North Dakota",3872,37105,159,4.11%,Sargent County,North Dakota
"Sheridan County, North Dakota",1409,32627,172,12.21%,Sheridan County,North Dakota
"Sioux County, North Dakota",4373,15649,1641,37.53%,Sioux County,North Dakota
"Slope County, North Dakota",742,33798,56,7.55%,Slope County,North Dakota
"Stark County, North Dakota",31081,38103,2660,8.56%,Stark County,North Dakota
"Steele County, North Dakota",1744,39011,100,5.73%,Steele County,North Dakota
"Stutsman County, North Dakota",20965,31991,2352,11.22%,Stutsman County,North Dakota
