Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Judo club,,9783959853156,"Gaku, Noda, artist ; author [person]",,,Germany,Berlin,Bruno Gmünder,2017,Comic or graphic novel ; Erotic ; Fiction
Juggernaut,,9781302924508,"Garney, Ron, artist [person] ; Nicieza, Fabian, author [person]",,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
Jughead annual,Archie annual ; Archie comics ; Archie's girls Betty and Veronica annual ; Archie's pals 'n' gals ; Betty and Veronica ; Jughead ; Katy Keene ; PEP comic annual ; Pals 'n' gals,,,,,England,London,Gerald G. Swan,1951-1960,Comic or graphic novel
Jughead,Archie annual ; Archie comics ; Archie's girls Betty and Veronica annual ; Archie's pals 'n' gals ; Betty and Veronica ; Jughead annual ; Katy Keene ; PEP comic annual ; Pals 'n' gals,,,,,England,London,Gerald G. Swan,1951-1960,Comic or graphic novel
Juice Squeezers,,9781616554385,"Lapham, David, artist ; author [person] ; Loughridge, Lee, artist [person]",,,United States of America,Milwaukie,Dark Horse,2014,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
Juicy mother 2 : how they met,,9781933368139,"Camper, Jennifer, 1957- [person]",,,England ; United States of America,London ; New York,Soft Skull ; Turnaround,2006,Comic or graphic novel ; Fiction
Juicy mother : celebration,,9781932360707,"Camper, Jennifer, 1957- [person]",,,England ; United States of America,London ; New York,Soft Skull ; Turnaround,2005,Comic or graphic novel ; Fiction
Juliet takes a breath,,9781684156115,"Moscote, Celia, artist [person] ; Rivera, Gabby, author [person]",,,United States of America,Los Angeles,BOOM! Box,2021,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Juliet,Past is prologue : Juliet,9781684050567,"Chankhamma, Shari [person] ; Del Col, Anthony, author [person] ; Lillie, Alex [person] ; Waltz, Tom, editor [person] ; Mowry, Chris [person] ; McCreery, Conor, author [person] ; Howell, Corin, artist [person] ; Lee, Shawn, letterer [person] ; Malone, Toby, editor [person]",Kill Shakespeare,volume 5 [Kill Shakespeare],United States of America,"San Diego, California",,2017,Comic or graphic novel ; Graphic ; Horror ; Novel
Julius Caesar the graphic novel : original text,,9781906332945,"McDonald, John F. (John Francis), 1948-, author [person] ; Bryant, Clive [person] ; O'Connor, Sean [person] ; Shakespeare, William, 1564-1616 [person] ; Erskine, Gary [person]",,,England,Towcester,Classical,2011,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Julius Caesar the graphic novel : plain text,,9781906332952,"McDonald, John F. (John Francis), 1948- [person] ; Bryant, Clive [person] ; O'Connor, Sean [person] ; Shakespeare, William, 1564-1616 [person] ; Erskine, Gary [person]",,,England,Towcester,Classical,2011,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Julius Caesar the graphic novel : quick text,,9781906332969,"McDonald, John F. (John Francis), 1948- [person] ; Bryant, Clive [person] ; O'Connor, Sean [person] ; Shakespeare, William, 1564-1616 [person] ; Erskine, Gary [person]",,,England,Towcester,Classical,2011,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Julius Caesar,,9780955285653,"Appignanesi, Richard [person] ; Mustashrik [person] ; Shakespeare, William, 1564-1616 [person]",Manga Shakespeare,,England,London,SelfMadeHero,2008,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Jumbo comics,,,,,,Australia,Sydney,H. John Edwards Publishing,,Comic or graphic novel
Jumping to conclusions,Animal attack! ; Animal instinct ; Black costume ; Concrete jungle ; Doom with a view ; Forces of nature ; Identity crisis ; Marvel adventures Spider-Man ; Monsters on the prowl ; Peter Parker vs. the X-Men ; Power struggle ; Secret identity ; Sinister Six ; Spider-Man ; Thwip!,,"Tobin, Paul, 1965- [person] ; McKeever, Sean [person] ; Van Lente, Fred [person] ; David, Peter (Peter Allen) [person] ; Sumerak, Marc [person] ; Fross, Kitty [person] ; Scherberger, Patrick [person] ; Wells, Zeb [person] ; Dezago, Todd [person] ; Kipiniak, Chris [person]",,,United States of America,New York,Marvel,2005-2010,Comic or graphic novel ; Fiction
June and school friend holiday special,,,,,,England,London,IPC Magazines,1966-,Comic or graphic novel
June and school friend picture library holiday special,,,,,,England,London,IPC Magazines,,Comic or graphic novel
June and school friend picture library,,,,,,England,London,Fleetway Publications,1965-1970,Comic or graphic novel
June and school friend,,,,,,England,London,Fleetway Publications,1965-1971,Comic or graphic novel
June and schoolfriend,The best of June and Schoolfriend,9781853756252,"Maiklem, Lara [person] ; Russell, Lorna [person]",,,England,London,Prion,2007,Children's literature ; Comic or graphic novel
June picture library holiday special,,,,,,England,London,IPC Magazines,1972-,Comic or graphic novel
Jungle Girl omnibus,Dynamite Entertainment presents Jungle Girl omnibus ; Jungle Girl omnibus. Volume 1,9781606903179,"Batista, Adriano [person] ; Murray, Doug [person] ; Cho, Frank [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2012,Comic or graphic novel
Jungle Jim,,,,,,England,Manchester,World,1955-1955,Comic or graphic novel
Jungle book,,9781600103520,"Mitildjian, Jean-Blaise [person] ; Osario, Amauri [person] ; Kipling, Rudyard, 1865-1936 [person] ; Oprisko, Kris [person] ; Tieko [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2009,Comic or graphic novel ; Fiction
Jungle fury,Power Rangers jungle fury,,,,,England,London,Egmont,2009-2010,Children's fiction ; Comic or graphic novel ; Periodical
Jungle hero comic,Jungle hero,,,,,England,London,"Wood, Rozelaar & Wilkes",,Comic or graphic novel
Jungle hero,Jungle hero comic,,,,,England,London,"Wood, Rozelaar & Wilkes",,Comic or graphic novel
Jungle journal,,9781600104596,"Totaro, Roberto [person]",,,United States of America,"San Diego, California",,2009,Comic or graphic novel
Jungle rock,"Dex Dipper, environmental investigator (E.I), 'no case too small' in Jungle rock ; Indians, gold & rainforest : Dex Dipper, environmental investigator (E.I) in Jungle rock",9781999319809,"Loveday, Pete, artist [person] ; Thres, Jay, author [person]",,,England,Chagford,Regeneration Company Press,2019,Comic or graphic novel ; Novel
Jungle rules,Ghost walk ; The last Phantom,,"Beatty, Scott, 1969- [person] ; Ferigato, Eduardo [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2011-2012,Comic or graphic novel
Jungle trails comic,Jungle trails,,,,,England,London,Scion,1951-1951,Comic or graphic novel
Jungle trails,Jungle trails comic,,,,,England,London,Scion,1951-1951,Comic or graphic novel
Jungle,The jungle,9781984856487,"Gehrmann, Kristina, artist ; author [person] ; Sinclair, Upton, 1878-1968 [person]",,,United States of America,Berkeley,Ten Speed Press,2019,Comic or graphic novel ; Fiction ; Novel
Junior Villains life,JV life,,,,,England,Derby,Comic Football,2011-,Children's literature ; Comic or graphic novel
Junior commandos,And a blind man shall lead them ; Darkest hour is just before dawn ; Death be thy name ; Harold Gray's Little Orphan Annie ; House divided (or does fate trick Trixie?) ; Last port of call ; Omnipotent Mr. Am ; One-way road to justice ; Punjab the Wizard ; Saints and cynics ; Spies and counterspies ; The complete Little Orphan Annie ; Will tomorrow ever come?,,"Gray, Harold, 1894-1968 [person]",The library of American comics,,United States of America,"San Diego, California",,2008-,Comic or graphic novel
Junk : record of the last hero,,9781597961080,"Asamyia, Kia [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2008,Comic or graphic novel ; Fantasy ; Fiction
Junk box,,9781626921856,"Fujimaru, Mamenosuke, artist [person] ; QuinRose (Firm), author [organisation]",Alice in the country of hearts,,United States of America,New York,Seven Seas,2015,Comic or graphic novel ; Fantasy ; Fiction
Junk men,Death trap ; Modesty Blaise. Death trap ; Vanishing dollybirds,9781845764180,"O'Donnell, Peter, 1920-2010 [person] ; Romero, Enrique, 1930- [person]",,,England,London,Titan,2007,Comic or graphic novel ; Fiction
Junk,,9781597961660,"Asamiya, Kia, 1963- [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2008,Comic or graphic novel ; Fiction ; Translations into English
Just a little blue,,9781891830648,"Runton, Andy [person]",Owly,volume 2 [Owly],England ; United States of America,"London ; Marietta, Georgia",Diamond ; Top Shelf,2005,Children's fiction ; Comic or graphic novel ; Novel
Just desserts,Bad apples ; Chew ; Chicken tenders ; Family recipes ; Flambé ; International flavor ; Major league chew ; Space cakes ; Taster's choice,,"Layman, John, 1967- [person] ; Guillory, Rob [person]",,,United States of America,"Berkeley, California",Image Comics,2009-,Comic or graphic novel ; Detective and mystery
Just friends,Lizzie McGuire. Vol. 7 ; Over the hill,9781591825739,"Minsky, Terri [person] ; Tuber, Douglas [person] ; Maile, Tim [person] ; Taylor, Allison, 1983- [person]",,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2004,Children's fiction ; Comic or graphic novel
Just imagine Stan Lee creating the DC universe omnibus,,9781401238858,"Lee, Stan, 1922-2018 [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Novel
Just in Casey,Crossing the divide ; Long goodbye ; Meeting of the minds ; Teenage Mutant Ninja Turtles Ghostbusters,9781631408731,"Smith, Cory, artist [person] ; Waltz, Tom, author [person] ; Wilson, Charles Paul, 1976-, artist [person] ; Schoening, Dan, artist [person] ; Burnham, Erik [person] ; Burnham, Erik, author [person]",,,United States of America,"San Diego, California",,2017,Comic or graphic novel
Just like heaven,,9780316114936,"McDonnell, Patrick, 1956- [person]",,,England ; United States of America,"Boston, Massachusetts ; London","Little, Brown",2006,Comic or graphic novel ; Fiction ; Novel
Just pretend,Benny and Penny in just pretend,9781935179269,"Hayes, Geoffrey [person]",,,United States of America,New York,Toon,2013,Children's fiction ; Comic or graphic novel
Justice Department,Judge Dredd: the Mega-City One archives ; Lawbreakers ; Lawbringers ; Mega-City One archives,,"Ford, Richard, 1974- [person] ; Robinson, Nick [person] ; Dembski-Bowden, Aaron [person] ; Hahn, August, 1971- [person]",,,England,Swindon,Mongoose,2009-,Comic or graphic novel ; Handbook or manual
Justice League 3001 : Things fall apart,Things fall apart,9781401264727,"Hi-Fi Colour Design, artist [organisation] ; Leigh, Rob [person] ; DeMatteis, J. M., author [person] ; Kolins, Scott, artist [person] ; Giffen, Keith, author [person]",Justice League 3001,volume 2 [Justice League 3001],United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
Justice League : another nail,Justice League of America : another nail,9781401202651 ; 9781840239447,"Davis, Alan, 1956- [person] ; Farmer, Mark [person]",JLA,,England,London,Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
Justice League : gods and monsters,Gods and monsters,9781401261313,"Robertson, Darick, illustrator [person] ; Norman, Justin, illustrator [person] ; Silas, Thony, 1986-, illustrator [person] ; Rodriguez, Diego, artist ; illustrator [person] ; Leonardi, Rick, illustrator [person] ; Timm, Bruce, author [person] ; Smith, Matthew Dow, illustrator [person] ; DeMatteis, J. M., author [person] ; Passalaqua, Allen, illustrator [person] ; Aviña, Tony, 1973-, illustrator [person] ; Temofonte, Saida, illustrator [person] ; Bellaire, Jordie, illustrator [person] ; Green, Dan, artist ; illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction
Justice League : the rise and fall,,9780857681874,"Robinson, James, 1963- [person]",,,England,London,Titan,2012,Comic or graphic novel ; Fiction ; Science fiction
Justice League : their greatest triumphs,,9781401273514,"Johns, Geoff, 1973-, author [person]",,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction
Justice League Beyond : Konstriction,Konstriction,9781401240233,"Fridolfs, Derek, author [person] ; Nguyen, Dustin, author [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Fiction ; Science fiction
Justice League Beyond : Power Struggle,,9781401250737,"Gage, Christos, author [person] ; Lean, Rob, illustrator [person] ; Coello, Iban, illustrator [person]",,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Novel
Justice League Canada,Justice League United. Volume 1. Justice League Canada,9781401252359,"Lemire, Jeff, author [person] ; McKone, Mike, illustrator [person]",,,United States of America,New York,DC Comics,2015,Comic or graphic novel ; Novel
Justice League China,,9781401288297,"Peebles, Brent, artist [person] ; Yang, Gene Luen, author [person]",New Super-man & the JLC,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction ; Science fiction
Justice League International,,,"Giffen, Keith [person] ; Maguire, Kevin [person] ; Sears, Bart [person] ; DeMatteis, J. M. [person]",,,United States of America,New York,DC Comics,2008-,Comic or graphic novel ; Novel
Justice League adventures,Justice League adventures (Comic strip),9781840236163,"Slott, Dan [person] ; Delaney, John, 1964- [person] ; Ku, Min S. [person] ; Jones, Christopher, 1969- [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2003,Comic or graphic novel ; Fiction
Justice League annual,"Annual ; Justice League annual (Bath, England)",,,,,England,Bath,Parragon,2017-,Children's literature ; Comic or graphic novel ; Periodical
Justice League companion : a historical and speculative overview of the Silver Age Justice League of America,,9781893905481,"Eury, Michael [person]",,,England ; United States of America,"London ; Raleigh, North Carolina",Diamond ; TwoMorrows,2005,Comic or graphic novel
Justice League legends,,,,,,England,London,Titan Magazines,2007-,Comic or graphic novel ; Fiction ; Periodical
Justice League of America : another nail,Justice League : another nail,9781401202651 ; 9781840239447,"Davis, Alan, 1956- [person] ; Farmer, Mark [person]",JLA,,England,London,Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
Justice League of America : road to rebirth,,9781401273521,"Prado, Joe, artist [person] ; Houser, Jody, author [person] ; MacDonald, Andy, artist [person] ; Byrne, Stephen, artist [person] ; Rauch, John [person] ; Orlando, Steve, author ; writer [person] ; Campbell, Jamal, artist [person] ; Reis, Ivan, artist [person] ; Cowles, Clayton [person] ; Maiolo, Marcelo, artist [person]",DC Universe Rebirth,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel
Justice League of America : sanctuary,Sanctuary,9781401219925 ; 9781401220105,"Burnett, Alan [person] ; Benes, Ed [person] ; McDuffie, Dwayne [person]",,,United States of America,New York,DC Comics,2008,Comic or graphic novel ; Novel
Justice League of America : second coming,,9781401222529 ; 9781401222536,"Leigh, Rob [person] ; Benes, Ed [person] ; McDuffie, Dwayne [person]",,,United States of America,New York,DC Comics,2009,Comic or graphic novel ; Novel
Justice League of America : the injustice league,Injustice league,9781401218027 ; 9781401220501,"McKone, Mike [person] ; McDuffie, Dwayne [person]",,,United States of America,New York,DC Comics,2008,Comic or graphic novel
Justice League of America : the nail,JLA : the nail ; Superman (Comic strip) ; The nail,,"Mulvihill, Patricia [person] ; Siegel, Jerry, 1914-1996, author [person] ; Nowak, Leo, 1907-2001, artist [person] ; Dc Comics, Inc [organisation] ; Prentice, Pat [person] ; Davis, Alan, 1956-, artist ; author [person] ; Farmer, Mark, artist [person]",DC Comics graphic novel collection,volume 24 [DC Comics graphic novel collection],England,London,Eaglemoss,2016,Comic or graphic novel
Justice League of America : the tenth circle,JLA : the tenth circle ; Tenth circle,9781401203467 ; 9781840239133,"Ordway, Jerry [person] ; Claremont, Chris, 1950- [person] ; Byrne, John, 1950- [person]",JLA,,England,London,Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
Justice League of America annual,Adventure comics ; Aquaman : a celebration of 75 years ; More fun comics,9781401264468,"Norris, Paul (Paul Leroy), 1914-2007 [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
Justice League of America,,9781401276928,"Reis, Ivan, artist [person] ; Orlando, Steve, author ; writer [person]",Rebirth,1 [Rebirth],United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction
Justice League unwrapped by Jim Lee,,9781401268503,"Lee, Jim, 1964-, artist [person] ; Johns, Geoff, 1973-, author [person] ; Brosseau, Pat [person]",,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel
Justice League versus Suicide Squad,Justice League vs. Suicide Squad ; Rebirth : Suicide Squad,,"Buccellato, Brian, author [person] ; McPhee, Lauren, editor [person] ; Williamson, Joshua, author [person] ; Dc Comics, Inc [organisation] ; Fabok, Jay, artist [person]",DC Legends: Suicide Squad,#3.5 [DC Legends: Suicide Squad],England,London,Titan Magazines,2017,Comic or graphic novel
Justice League,,9781506702735,"Ostrander, John, author [person] ; David, Peter (Peter Allen), author [person] ; Marz, Ron, author [person]",,,United States of America,Milwaukie,Dark Horse,2017,Comic or graphic novel ; Fiction ; Science fiction
Justice LeaguePower Rangers,,9781401272005,"Taylor, Tom, 1978-, author [person] ; Byrne, Stephen, artist [person]",,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction ; Science fiction
Justice Legue of America : the greatest stories ever told,Greatest stories ever told ; JLA : the greatest stories ever told,9781401209322 ; 9781845763053,"Dc Comics, Inc [organisation]",,,England ; United States of America,DC Comics ; London ; New York,Titan,2006,Comic or graphic novel ; Fiction
Justice Society of America : Supertown,Supertown,9780857688323 ; 9781401232849,"Guggenheim, Marc [person] ; Norton, Mike [person] ; Kolins, Scott [person]",,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Novel
Justice Society of America : a celebration of 75 years,"All-star squadron ; Cris on Earth-One! ; Crisis on Earth-Two! ; End times ; For America and Democracy! ; JSA no more? ; Peril of the paired planets ; The Injustice Society of the World! ; The JSA returns, Conclusion: time's arrow ; The bridge between Earths! ; The defeat of the Justice Society! ; The first case of the Justice Society of America ; The man who conquered the solar system! ; The most dangerous Earth of all ; The return of Hawkman: seven devils ; What a wonderful world ; Where valor fails...will magic triumph?",9781401255312,"Scott, Trevor, artist ; illustrator [person] ; Sekowsky, Mike, illustrator [person] ; Johns, Geoff, 1973-, author [person] ; DeZuniga, Tony, illustrator [person] ; Dell, John, artist ; illustrator [person] ; Kanigher, Robert, author [person] ; Broome, John, 1913-1999, author [person] ; Giella, Joe, illustrator [person] ; Giordano, Dick, illustrator [person] ; Ross, Alex, 1970-, author ; illustrator [person] ; Levitz, Paul, author [person] ; Parobeck, Mike, illustrator [person] ; Strazewski, Len, author [person] ; Machlan, Mike, illustrator [person] ; O'Neil, Dennis, 1939-2020, author [person] ; Ordway, Jerry, illustrator [person] ; Rosado, William, illustrator [person] ; Sachs, Bernard, illustrator [person] ; Kryssing, Ray, illustrator [person] ; Bair, Michael, illustrator [person] ; Robinson, James, 1963-, author [person] ; Thomas, Roy, 1940-, author [person] ; Staton, Joe, illustrator [person] ; Hibbard, E. E. (Everett E.), 1909-, illustrator [person] ; Hasen, Irwin, 1918-2015, illustrator [person] ; Goyer, David S., author [person] ; Scott, Nicola, illustrator [person] ; Giacoia, Frank, illustrator [person] ; Greene, Sid, 1906-1972, illustrator [person] ; Buckler, Rich, illustrator [person] ; Fox, Gardner F. (Gardner Francis), 1911-1986, author [person] ; Dillin, Dick, 1928-1980, illustrator [person] ; Sadowski, Stephen, illustrator [person] ; Jones, Arvell, illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel ; Science fiction
Justice Society of America : fair play,Black vengeance ; JSA: black vengeance,9781401209667 ; 9781845762568,"Champagne, Keith [person] ; Johns, Geoff, 1973- [person] ; Kramer, Don [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2006,Comic or graphic novel ; Fiction ; Science fiction
Justice Society of America : the complete 1992 series,,9781401267346,"Strazewski, Len, author [person]",,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction
Justice Society of America omnibus volume three,"JSA Omnibus, Volume 3 ; JSA Omnibus, Volume three",9781401255305,"Eaglesham, Dale, illustrator [person] ; Blanco, Fernando, 1971-, illustrator [person] ; Johns, Geoff, 1973-, author [person] ; Leigh, Rob, illustrator [person] ; Champagne, Keith, author [person] ; Ross, Alex, 1970-, illustrator [person] ; Ordway, Jerry, illustrator [person] ; Kalisz, John, illustrator [person] ; Ruy, José, illustrator [person] ; Hill, John J., letterer, illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
Justice Society of America,All star comics ; DC showcase presents All star comics ; Showcase presents All star comics,9780857688101 ; 9781401233037,"Levitz, Paul [person] ; Staton, Joe [person]",Showcase presents library of classics,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fantasy ; Science fiction
Justice is served,,9781302904203,"DeMatteis, J. M., author [person] ; Gruenwald, Mark, author [person] ; Byrne, John, 1950-, author [person]",Captain America epic collection,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Justice traps the guilty,Guilty ; Guilty comics,,,,,England,"London ; Oadby, Leicester",Arnold ; Strato Publications ; Thorpe & Porter,1951-,Comic or graphic novel
Justice,,,"Ross, Alex, 1970- [person] ; Krueger, Jim [person] ; Braithwaite, Dougie [person]",,,United States of America,New York,DC Comics,2006-2007,Comic or graphic novel ; Novel ; Science fiction
KAK 77,,,"Konvention of Alternative Komix, Air Galleries, London, England, 1977 [meeting/conference] ; Air Gallery [organisation]",,,England,Birmingham,AR-ZAK The Arts Lab Press,1977,Comic or graphic novel
KISS : greatest hits,,,"Weiss, Alan, artist [person] ; Holguin, Brian, author [person] ; Gerber, Steve, 1947-2008, author [person] ; Macchio, Ralph, author [person] ; Medina, Angel, 1964-, artist [person] ; Crain, Clayton, artist [person]",,,United States of America,"San Diego, California",,2012-,Comic or graphic novel
KYK,,,,,,South Africa,Johannesburg,Afrikaanse Pers. Beperk,1960-,Comic or graphic novel
Ka shin fu,,9781569707494,"Tateno, Makoto [person] ; Chien, Vivian, translator [person] ; Donnelly, Stephanie, editor [person]",Yaoi manga,,Japan,Gardena ; Tokyo,Digital Manga Publishing ; Oakla Shuppan,2007,Comic or graphic novel ; Erotic ; Novel ; Translations into English
Kaanch ke satth gole,Sept boules de cristal. Hindi,9789380070575,"Hergé, 1907-1983, artist ; author [person]",,,India,New Delhi,Om Books International,2018,Children's fiction ; Comic or graphic novel
Kaboom of doom,,9781848568662,,Kung fu panda,,England,London,Titan,2011,Children's fiction ; Comic or graphic novel
Kabuki,,,"Hashida, Yukari [person]",,,United States of America,"Gardena, California",Digital Manga Publishing,2008-,Comic or graphic novel ; Fiction ; Novel
Kafka,,9781607067634,"Gaudiano, Stefano [person] ; Starkings, Richard [person] ; Cinello, Marco [person] ; Seagle, Steven T. [person]",,,United States of America,"Berkeley, California",Image Comics,2013,Comic or graphic novel ; Suspense
Kagagi : the Raven,Raven,9781926914299,"Odjick, Jay [person] ; Tenascon, Patrick [person] ; Granea, Fernando [person]",,,Canada,"Coquitlam, British Columbia",Arcana Comics,2010,Comic or graphic novel ; Novel
Kal Jerico : underhive bounty hunter,,9781844162543,"Rennie, Gordon [person] ; Elson, Richard [person]",Necromunda,,England,Nottingham,Black Library,2005,Comic or graphic novel ; Fiction
Kal Jerico III : above and beyond,,9781844160587,"Reynolds, Wayne, artist [person] ; Rennie, Gordon [person]",,,England,Nottingham,Black Library,2003,Comic or graphic novel ; Science fiction
Kal Jerico,,9781849702294,"Reynolds, Wayne, artist [person] ; Rennie, Gordon [person] ; McDermott, Will [person]",,,England,Nottingham,Black Library,2011,Comic or graphic novel
Kala dweep,,9789380069449,"Hergé, 1907-1983, artist ; author [person]",The adventures of Tintin,,India,New Delhi,Om Books International,2018,Children's fiction ; Comic or graphic novel
Kamandi challenge,,9781401289126,"Willingham, Bill, author [person] ; King, Tom, 1978-, author [person]",,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction ; Science fiction
Kampung boy,"Lat, the kampung boy",9781596431218,Lat [person],,,England ; United States of America,London ; New York,First Second ; Macmillan,2006,Biographical fiction ; Children's fiction ; Comic or graphic novel ; Novel
Kang the cruel,,9780857686893,"Briggs, Austin, 1908-1973 [person]",The complete Flash Gordon library,volume 4 [The complete Flash Gordon library],England,London,Titan,2013,Comic or graphic novel ; Fiction ; Science fiction
Kang war one,,9781846537981,"Del Mundo, Mike, artist [person] ; Waid, Mark, 1962-, author [person]",Avengers. Unleashed,1 [Avengers. Unleashed],England,"Tunbridge Wells, Kent",Panini Publishing,2017,Comic or graphic novel ; Fiction ; Science fiction
Kanna,,,"Kirishima, Takeru [person] ; Dashiell, Christine, 1984- [person] ; Chandler, Brynne [person]",,,United States of America,"Agoura Hills, California",Go! Comi,2007-2008,Comic or graphic novel
Kannagi : crazy shrine maidens,,,"Flanagan, William [person] ; Takenashi, Eri [person]",,,United States of America,"Cypress, California",Bandai Entertainment,2011-,Comic or graphic novel ; Novel ; Translations into English
Kanokon,,9781933164410,"Koin [person] ; Nishino, Katsumi [person]",,,England ; United States of America,"London ; Los Angeles, California",Diamond ; Seven Seas,2007,Comic or graphic novel ; Fiction ; Romance fiction ; Young adult fiction
Karak the Terrible,,9781560974697,"Murphy, John Cullen [person] ; Foster, Hal [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2002,Comic or graphic novel ; Fiction ; Novel
Karakuri Odette,Karakuri Odetto. English,,"Ahlstrom, Peter [person] ; Tokutake, Aimi [person] ; Suzuki, Julietta [person]",,,Germany,Hamburg,Tokyopop,2009-2011,Comic or graphic novel ; Humour or satire ; Science fiction ; Translations into English
Kare first love,First love,,"Miyasaka, Kaho [person]",Viz graphic novel,,United States of America,"San Francisco, California",Media,2004-2006,Comic or graphic novel ; Fiction ; Translations into English
Karney,,9781933239262,"Johnson, Bryan, 1967- [person] ; Flanagan, Walt, 1967- [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2005,Comic or graphic novel ; Fiction ; Horror
Kaspar,,9781897299678,"Obomsawin, Diane [person]",,,Canada ; England,"Enfield ; Montréal, Quebec",Drawn & Quarterly,2009,Biographical fiction ; Comic or graphic novel ; Fiction ; Novel
Kato origins,Hellfire Club ; Way of the ninja,,"Worley, Colton [person] ; Nitz, Jai [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2010-2011,Comic or graphic novel ; Fiction
Kato,Living in America ; Not my father's daughter,,"Bernard, Diego [person] ; Garza, Alé [person] ; Parks, Ande [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2010-,Comic or graphic novel ; Novel
Katusha : girl soldier of the great patriotic war,,9781682474259,"Vansant, Wayne, artist ; author [person]",,,United States of America,Annapolis,Dead Reckoning,2019,Comic or graphic novel ; Fiction ; Novel
Katy Keene,,9781682557853,,,,United States of America,New York,Archie Comics,2019,Comic or graphic novel ; Fiction
Kawaii beast,Cute beast,9781569707739,"Tsuge, Amayo [person]",,,United States of America,Gardena,Digital Manga Pub ; Juné,2007,Comic or graphic novel
Kawaii not : cute gone bad,Cute gone bad ; Kawaii not. Selections,9781600610769,"Murphy, Meghan [person]",,,United States of America,"Cincinnati, Ohio",,2008,Comic or graphic novel
Kayfabe,Ringside. Volume one. Kayfabe,9781632156952,"Gough, Simon, 1982- [person] ; Keatinge, Joe, author [person] ; Maher, Ariana [person] ; Barber, Nick, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2016,Comic or graphic novel
Kaze no hana,,,"Ohta, Akiyoshi [person] ; Ushio, Mizta [person]",,,United States of America,New York,,2008,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Keeper of the castle,Catwoman. Volume 6. Keeper of the castle,9781401254698,"Lee, Jae, 1972-, illustrator [person] ; Cipriano, Sal, illustrator [person] ; Olliffe, Pat, illustrator [person] ; Brown, Garry, 1981-, illustrator [person] ; Nguyen, Tom, illustrator [person] ; Valentine, Genevieve, author [person] ; Chung, June, illustrator [person] ; Loughridge, Lee, illustrator [person] ; McCrea, John, 1966-, illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
Kestus,Days missing : Kestus ; Days missing. Volume two. Kestus ; Roddenberry presents Days missing : Kestus,9781936393107,"Marquez, David, artist [person] ; Hester, Phil, 1966-, author [person] ; Roth, Trevor, author [person]",,,United States of America,"Los Angeles, California",Archaia Entertainment LLC,2011,Comic or graphic novel ; Novel
